iter	RMSE
0	3.414437249
1	3.41122322
2	3.408082375
3	3.405917832
4	3.403570765
5	3.401339605
6	3.398623502
7	3.396142418
8	3.392931968
9	3.390247878
10	3.387161335
11	3.385311615
12	3.383653169
13	3.381833397
14	3.379653158
15	3.377600217
16	3.375669094
17	3.374065477
18	3.372462355
19	3.37021059
20	3.367784817
21	3.365524739
22	3.363168032
23	3.361624617
24	3.360668919
25	3.359329008
26	3.35618408
27	3.353326169
28	3.351273167
29	3.350018283
30	3.347308585
31	3.34616221
32	3.345545917
33	3.344161512
34	3.3424014
35	3.341848999
36	3.340465789
37	3.338920475
38	3.337876219
39	3.336946207
40	3.335177048
41	3.333798341
42	3.331764039
43	3.330961666
44	3.329847486
45	3.327549629
46	3.325904564
47	3.32462038
48	3.322611256
49	3.322062056
50	3.320754484
51	3.319405718
52	3.318284395
53	3.316915837
54	3.316297804
55	3.313614261
56	3.313033984
57	3.312444105
58	3.311108895
59	3.309802948
60	3.309102652
61	3.308036662
62	3.307330879
63	3.305836375
64	3.305174198
65	3.303900979
66	3.302889821
67	3.300761952
68	3.298920141
69	3.297962846
70	3.296850615
71	3.295284661
72	3.294041578
73	3.293404986
74	3.291961621
75	3.291587948
76	3.29049804
77	3.289267152
78	3.287780651
79	3.286867199
80	3.285558847
81	3.284583019
82	3.283239324
83	3.280790834
84	3.279079109
85	3.277307308
86	3.276807039
87	3.275841518
88	3.274039355
89	3.273108464
90	3.272468188
91	3.271024263
92	3.270512686
93	3.269595659
94	3.267698123
95	3.265361686
96	3.261960576
97	3.261252963
98	3.259910138
99	3.258844928
100	3.25756148
101	3.256669126
102	3.255753152
103	3.254340007
104	3.253824607
105	3.252715807
106	3.251811023
107	3.249551131
108	3.248563717
109	3.247175897
110	3.245939545
111	3.244885296
112	3.243637922
113	3.242682172
114	3.242170035
115	3.241197359
116	3.240183616
117	3.239130419
118	3.238708059
119	3.237556461
120	3.236865114
121	3.235898663
122	3.232940608
123	3.232072196
124	3.230447745
125	3.229176757
126	3.226856374
127	3.225131755
128	3.224167571
129	3.223595509
130	3.221475603
131	3.220426785
132	3.219120685
133	3.218729131
134	3.2167948
135	3.21523489
136	3.214092099
137	3.21255252
138	3.210672819
139	3.209853563
140	3.208823464
141	3.208204067
142	3.207163104
143	3.206707612
144	3.204610341
145	3.20390954
146	3.202440773
147	3.199194211
148	3.198782927
149	3.197198295
150	3.196161666
151	3.195369519
152	3.194962932
153	3.193504832
154	3.192864636
155	3.192076143
156	3.191086965
157	3.19044737
158	3.189613885
159	3.189179879
160	3.1880321
161	3.18700035
162	3.185957356
163	3.184756002
164	3.18231994
165	3.18099412
166	3.179954023
167	3.17905686
168	3.177188229
169	3.176158845
170	3.174505264
171	3.173282158
172	3.172007237
173	3.171196736
174	3.169709801
175	3.168608432
176	3.16702969
177	3.166258465
178	3.16503889
179	3.164007913
180	3.160153507
181	3.159348422
182	3.157965869
183	3.156441049
184	3.155214614
185	3.154676756
186	3.153294146
187	3.152327687
188	3.149699966
189	3.148677117
190	3.147061232
191	3.146422292
192	3.14485803
193	3.14406208
194	3.143045119
195	3.142103973
196	3.140817436
197	3.138794703
198	3.137728704
199	3.137242732
200	3.136130765
201	3.135321931
202	3.134349095
203	3.133217257
204	3.13229534
205	3.130541741
206	3.128852858
207	3.127695408
208	3.126688379
209	3.124100444
210	3.122991
211	3.120361123
212	3.117858751
213	3.116580216
214	3.114484614
215	3.112656217
216	3.111350357
217	3.110383022
218	3.108918772
219	3.107729012
220	3.107259825
221	3.106171222
222	3.104865733
223	3.104313628
224	3.102452906
225	3.101452068
226	3.100858084
227	3.099559543
228	3.098857647
229	3.096938476
230	3.09500215
231	3.093529326
232	3.091726616
233	3.08987171
234	3.08773028
235	3.086575723
236	3.085186515
237	3.083313768
238	3.082027608
239	3.079475271
240	3.07846646
241	3.077523127
242	3.074896342
243	3.07395204
244	3.073019344
245	3.071343005
246	3.069588135
247	3.068473442
248	3.066376476
249	3.065091417
250	3.063769056
251	3.062846063
252	3.062229676
253	3.060864856
254	3.059706799
255	3.058486696
256	3.057611448
257	3.05653981
258	3.055690534
259	3.053793546
260	3.052180837
261	3.051348852
262	3.050570201
263	3.049328147
264	3.046380054
265	3.045351826
266	3.044680753
267	3.043682704
268	3.042486948
269	3.041122941
270	3.038326359
271	3.037002301
272	3.036718065
273	3.035601036
274	3.03392718
275	3.032900501
276	3.032010695
277	3.02911046
278	3.027657937
279	3.025988403
280	3.025356389
281	3.024110301
282	3.023758915
283	3.021672936
284	3.020737545
285	3.018837916
286	3.017977664
287	3.017362924
288	3.014715128
289	3.01389629
290	3.012441802
291	3.011556058
292	3.010579903
293	3.009749666
294	3.00800846
295	3.006638624
296	3.005058512
297	3.002354305
298	3.001871399
299	3.000604281
300	2.999046006
301	2.99811897
302	2.995089874
303	2.994822685
304	2.99415064
305	2.993531859
306	2.992603191
307	2.990417013
308	2.988865951
309	2.98794041
310	2.985919513
311	2.985775863
312	2.98463292
313	2.984377613
314	2.98347019
315	2.981700243
316	2.980088355
317	2.978616935
318	2.977322169
319	2.975773966
320	2.974959533
321	2.973177379
322	2.971782392
323	2.969959248
324	2.966739765
325	2.965830317
326	2.964530423
327	2.964035956
328	2.963477091
329	2.961917058
330	2.960806521
331	2.958798067
332	2.957650746
333	2.955901529
334	2.955521801
335	2.953481455
336	2.953142597
337	2.951968239
338	2.950839267
339	2.948249441
340	2.947741985
341	2.947588715
342	2.946778967
343	2.945836161
344	2.944387389
345	2.942635039
346	2.94168577
347	2.940242075
348	2.939311432
349	2.938050178
350	2.937179836
