iter	Passed	Remaining
0	3	1741
1	6	1653
2	9	1563
3	12	1509
4	14	1484
5	17	1459
6	20	1442
7	23	1451
8	26	1452
9	29	1465
10	32	1451
11	35	1457
12	41	1567
13	45	1585
14	48	1574
15	53	1616
16	56	1598
17	61	1659
18	65	1661
19	70	1699
20	74	1690
21	79	1720
22	81	1698
23	85	1688
24	91	1744
25	95	1736
26	98	1717
27	105	1778
28	109	1782
29	113	1782
30	118	1793
31	125	1837
32	134	1909
33	137	1888
34	140	1866
35	146	1890
36	150	1881
37	153	1871
38	155	1841
39	157	1814
40	159	1788
41	162	1769
42	165	1760
43	168	1747
44	171	1738
45	174	1719
46	176	1702
47	178	1681
48	180	1661
49	183	1650
50	185	1630
51	187	1616
52	189	1597
53	192	1591
54	194	1573
55	196	1554
56	199	1552
57	202	1540
58	205	1532
59	206	1517
60	208	1502
61	210	1489
62	213	1478
63	215	1465
64	216	1450
65	219	1441
66	221	1433
67	224	1424
68	226	1411
69	227	1398
70	230	1395
71	232	1384
72	234	1372
73	236	1361
74	238	1349
75	240	1341
76	242	1330
77	245	1327
78	247	1317
79	249	1311
80	252	1305
81	254	1295
82	257	1293
83	259	1285
84	261	1278
85	265	1277
86	268	1272
87	269	1263
88	271	1253
89	273	1244
90	273	1230
91	275	1223
92	278	1217
93	279	1209
94	281	1200
95	283	1193
96	285	1185
97	289	1188
98	291	1181
99	297	1188
100	298	1180
101	300	1172
102	302	1165
103	304	1158
104	306	1152
105	310	1153
106	312	1146
107	313	1139
108	315	1131
109	317	1126
110	320	1121
111	321	1114
112	323	1108
113	326	1106
114	328	1099
115	330	1094
116	333	1090
117	334	1083
118	336	1076
119	338	1072
120	341	1070
121	343	1064
122	345	1058
123	346	1052
124	348	1045
125	350	1039
126	352	1036
127	355	1032
128	357	1029
129	359	1023
130	361	1017
131	363	1013
132	365	1008
133	367	1003
134	368	997
135	370	991
136	374	991
137	375	985
138	378	982
139	380	977
140	382	972
141	384	968
142	386	964
143	389	961
144	392	959
145	393	954
146	395	949
147	397	945
148	401	945
149	403	941
150	407	941
151	409	937
152	410	931
153	412	927
154	414	921
155	415	917
156	417	912
157	419	908
158	421	903
159	423	899
160	425	895
161	430	898
162	432	894
163	434	890
164	438	889
165	439	885
166	441	880
167	443	876
168	446	874
169	449	871
170	450	867
171	452	863
172	455	861
173	457	857
174	460	854
175	461	850
176	463	845
177	465	842
178	470	844
179	473	841
180	475	838
181	477	834
182	480	831
183	483	830
184	486	828
185	488	825
186	490	820
187	492	817
188	494	814
189	496	810
190	498	807
191	501	804
192	502	799
193	505	797
194	507	794
195	511	792
196	512	788
197	514	784
198	517	782
199	519	778
200	520	774
201	522	770
202	524	767
203	526	764
204	529	761
205	532	759
206	540	764
207	542	761
208	544	758
209	546	754
210	548	751
211	551	748
212	553	745
213	554	741
214	557	738
215	560	736
216	562	733
217	565	731
218	566	727
219	569	724
220	570	720
221	572	716
222	573	712
223	575	708
224	577	705
225	579	703
226	582	700
227	584	696
228	586	694
229	592	695
230	594	692
231	597	690
232	599	687
233	601	683
234	603	680
235	606	678
236	609	676
237	613	675
238	615	672
239	616	668
240	618	665
241	620	661
242	622	658
243	624	655
244	626	651
245	629	650
246	632	648
247	634	644
248	636	641
249	639	639
250	642	637
251	644	634
252	646	630
253	647	627
254	649	623
255	652	622
256	655	619
257	659	618
258	661	615
259	663	612
260	667	610
261	670	609
262	672	606
263	675	603
264	677	600
265	678	597
266	680	593
267	682	590
268	684	587
269	686	584
270	689	582
271	693	581
272	698	580
273	700	577
274	702	574
275	704	571
276	706	568
277	710	567
278	712	564
279	714	561
280	716	558
281	718	555
282	721	553
283	724	550
284	725	547
285	727	544
286	729	541
287	730	538
288	732	534
289	734	532
290	736	528
291	738	525
292	740	523
293	742	520
294	745	518
295	747	515
296	749	512
297	750	509
298	752	505
299	755	503
300	756	500
301	758	497
302	760	494
303	761	491
304	763	488
305	765	485
306	766	482
307	768	479
308	771	476
309	773	473
310	774	470
311	776	467
312	779	465
313	782	463
314	784	460
315	786	458
316	788	455
317	790	452
318	791	449
319	793	446
320	795	443
321	796	440
322	799	437
323	800	434
324	803	432
325	805	430
326	808	427
327	811	425
328	813	422
329	815	419
330	817	417
331	819	414
332	821	411
333	823	409
334	827	407
335	829	405
336	831	402
337	834	399
338	836	397
339	837	394
340	839	391
341	841	388
342	842	385
343	844	382
344	846	380
345	847	377
346	850	374
347	852	372
348	854	369
349	856	366
350	858	364
351	862	362
352	865	360
